iter	Passed	Remaining
1031	7548	1228
1032	7555	1221
1033	7562	1214
1034	7570	1206
1035	7577	1199
1036	7585	1192
1037	7593	1185
1038	7600	1177
1039	7607	1170
1040	7614	1163
1041	7621	1155
1042	7628	1148
1043	7634	1140
1044	7641	1133
1045	7648	1126
1046	7656	1118
1047	7662	1111
1048	7669	1103
1049	7675	1096
1050	7682	1089
1051	7690	1081
1052	7696	1074
1053	7703	1067
1054	7710	1059
1055	7717	1052
1056	7724	1044
1057	7730	1037
1058	7738	1030
1059	7745	1022
1060	7752	1015
1061	7759	1008
1062	7766	1000
1063	7772	993
1064	7779	986
1065	7786	978
1066	7794	971
1067	7803	964
1068	7811	957
1069	7819	950
1070	7827	942
1071	7836	935
1072	7844	928
1073	7853	921
1074	7862	914
1075	7871	907
1076	7877	899
1077	7884	892
1078	7892	885
1079	7898	877
1080	7906	870
1081	7912	862
1082	7920	855
1083	7928	848
1084	7935	841
1085	7942	833
1086	7949	826
1087	7957	819
1088	7964	811
1089	7971	804
1090	7978	797
1091	7984	789
1092	7991	782
1093	7999	775
1094	8005	767
1095	8012	760
1096	8019	752
1097	8026	745
1098	8032	738
1099	8039	730
1100	8046	723
1101	8053	716
1102	8060	708
1103	8067	701
1104	8074	694
1105	8081	686
1106	8088	679
1107	8094	672
1108	8101	664
1109	8107	657
1110	8114	650
1111	8121	642
1112	8128	635
1113	8135	628
1114	8143	620
1115	8149	613
1116	8156	606
1117	8163	598
1118	8171	591
1119	8180	584
1120	8188	577
1121	8196	569
1122	8205	562
1123	8213	555
1124	8222	548
1125	8231	540
1126	8239	533
1127	8247	526
1128	8253	519
1129	8261	511
1130	8268	504
1131	8275	497
1132	8282	489
1133	8290	482
1134	8297	475
1135	8304	467
1136	8312	460
1137	8319	453
1138	8326	445
1139	8333	438
1140	8339	431
1141	8346	423
1142	8353	416
1143	8360	409
1144	8367	401
1145	8373	394
1146	8380	387
1147	8387	379
1148	8394	372
1149	8401	365
1150	8408	357
1151	8415	350
1152	8422	343
1153	8429	335
1154	8435	328
1155	8442	321
1156	8449	314
1157	8456	306
1158	8463	299
1159	8471	292
1160	8477	284
1161	8484	277
1162	8491	270
1163	8498	262
1164	8506	255
1165	8515	248
1166	8523	241
1167	8532	233
1168	8540	226
1169	8549	219
1170	8557	211
1171	8565	204
1172	8574	197
1173	8582	190
1174	8589	182
1175	8596	175
1176	8603	168
1177	8611	160
1178	8618	153
1179	8626	146
1180	8634	138
1181	8642	131
1182	8649	124
1183	8656	116
1184	8663	109
1185	8670	102
1186	8676	95
1187	8684	87
1188	8690	80
1189	8697	73
1190	8704	65
1191	8711	58
1192	8717	51
1193	8724	43
1194	8731	36
1195	8739	29
1196	8746	21
1197	8753	14
1198	8760	7
1199	8767	0
